"id","nume_generate","prenume_generate","genuri","emails_generate","numere_telefon_generate","sucursale_generate","functii_generate","salariu_mediu_values"
1,"CROITORU","Giorgian","M","Giorgian.CROITORU@yahoo.com","0785545509","3","12",2755
2,"GRIGORE","Brăduț","M","Brăduț.GRIGORE@yahoo.com","0754029424","8","32",2351
3,"CRACIUN","Ducu","M","Ducu.CRACIUN@yahoo.com","0744253946","5","22",3145
4,"NITA","Cristinel","M","Cristinel.NITA@yahoo.com","0785115459","7","60",4679
5,"IORGA","Zaharia","M","Zaharia.IORGA@yahoo.com","0799692898","3","65",5904
6,"NICULESCU","Anghelina","F","Anghelina.NICULESCU@yahoo.com","0779722234","4","81",5810
7,"IACOB","Leordean","M","Leordean.IACOB@yahoo.com","0797817892","4","13",2632
8,"GROZA","Igor","M","Igor.GROZA@yahoo.com","0783523669","1","73",3769
9,"NISTOR","Andrada","F","Andrada.NISTOR@yahoo.com","0733101049","1","43",5168
10,"PETRESCU","Camelia","F","Camelia.PETRESCU@yahoo.com","0763772506","1","36",2252
11,"COJOCARU","Marioara","F","Marioara.COJOCARU@yahoo.com","0756083283","4","63",5664
12,"MUNTEANU","Brăduț","M","Brăduț.MUNTEANU@yahoo.com","0708131289","8","45",4020
13,"NEAGU","Ianis","M","Ianis.NEAGU@yahoo.com","0764294367","8","34",1993
14,"IGNAT","Marcheta","F","Marcheta.IGNAT@yahoo.com","0723884264","7","69",3635
15,"FILIP","Titus","M","Titus.FILIP@gmail.com","0793845868","1","83",6434
16,"UNGUREANU","Florin","M","Florin.UNGUREANU@yahoo.com","0743629762","1","67",6031
17,"ADAM","Cleopatra","F","Cleopatra.ADAM@yahoo.com","0771908601","6","74",4065
18,"MIRON","Visarion","M","Visarion.MIRON@gmail.com","0742912986","7","3",2301
19,"STOIAN","Petruț","M","Petruț.STOIAN@yahoo.com","0713943402","6","38",2925
20,"VERES","Flora","F","Flora.VERES@gmail.com","0713176863","7","9",2359
21,"PATRASCU","Tamara","F","Tamara.PATRASCU@yahoo.com","0703141082","1","52",4366
22,"MILITARU","Ioniță","M","Ioniță.MILITARU@yahoo.com","0716669520","8","67",6031
23,"NICOLESCU","Marinel","M","Marinel.NICOLESCU@yahoo.com","0741619993","4","20",2988
24,"UNGUREANU","Nicoleta","F","Nicoleta.UNGUREANU@gmail.com","0725292508","2","33",2213
25,"LUPU","Adi","M","Adi.LUPU@gmail.com","0770704049","7","47",5589
26,"MORARU","Florentin","M","Florentin.MORARU@yahoo.com","0725946906","1","77",4944
27,"BARBU","Jan","M","Jan.BARBU@yahoo.com","0794610679","1","26",3567
28,"MUNTEAN","Zaharia","M","Zaharia.MUNTEAN@yahoo.com","0733619390","5","77",4813
